ticket_id,customer_id,order_id,product,issue_type,ticket_text,priority,customer_sentiment,customer_tier,payment_method,delivery_partner,channel,location,assigned_team,status,requires_escalation,sla_breach,resolution_time_hours,resolution_suggestion,created_at
BEN-TKT0001,CUST8302,ORD94853,Laptop Bag,App Issue,Unable to place Laptop Bag order through app.,Critical,Satisfied,Silver,Debit Card,Delhivery,Email,Bengaluru,Customer Support,Escalated,No,No,10,Escalate to technical support for debugging.,2026-05-09 12:08:26
PUN-TKT0002,CUST4072,ORD53630,Tablet,Cancellation Issue,Cancelled order is still active.,Critical,Angry,Gold,Debit Card,BlueDart,Mobile App,Pune,Payment Support,Escalated,Yes,No,67,Verify cancellation eligibility and process request.,2026-04-26 17:08:26
BEN-TKT0003,CUST9139,ORD86382,Smartwatch,Wrong Item,Delivered item does not match my order.,Critical,Angry,Gold,Credit Card,Delhivery,Phone,Bengaluru,Technical Support,Open,Yes,No,43,Arrange replacement pickup and warehouse verification.,2026-05-24 13:08:26
DEL-TKT0004,CUST7847,ORD65670,Laptop Bag,Order Delay,Delivery for my Laptop Bag is delayed.,Critical,Frustrated,Platinum,UPI,XpressBees,Chat,Delhi,Logistics Team,Escalated,No,Yes,20,Escalate to logistics support and provide updated ETA.,2026-05-03 10:08:26
PUN-TKT0005,CUST9512,ORD32023,Laptop Bag,Stock Issue,Inventory issue detected for Laptop Bag.,Critical,Satisfied,Gold,Debit Card,XpressBees,Phone,Pune,Warehouse Operations,Resolved,Yes,No,59,Validate inventory sync and suggest alternatives.,2026-04-25 02:08:26
PUN-TKT0006,CUST9008,ORD56367,Shoes,Stock Issue,Inventory issue detected for Shoes.,Critical,Neutral,Platinum,UPI,Delhivery,Email,Pune,Warehouse Operations,Open,No,No,27,Validate inventory sync and suggest alternatives.,2026-05-05 15:08:26
DEL-TKT0007,CUST3759,ORD68461,Shoes,Wrong Item,I received the wrong Shoes in my package.,Critical,Neutral,Silver,Wallet,XpressBees,Mobile App,Delhi,Warehouse Operations,Resolved,Yes,No,58,Arrange replacement pickup and warehouse verification.,2026-05-22 08:08:26
PUN-TKT0008,CUST8026,ORD16856,Jeans,Cancellation Issue,Cancellation request failed for Jeans.,Critical,Satisfied,Gold,Credit Card,Delhivery,Phone,Pune,Technical Support,Resolved,No,Yes,50,Verify cancellation eligibility and process request.,2026-04-29 06:08:26
CHE-TKT0009,CUST5625,ORD15469,Mobile Charger,Cancellation Issue,Cancellation request failed for Mobile Charger.,Critical,Satisfied,Gold,Wallet,Ekart,Phone,Chennai,Customer Support,In Progress,No,No,66,Verify cancellation eligibility and process request.,2026-05-16 08:08:26
CHE-TKT0010,CUST4589,ORD64225,Jeans,Refund Issue,Refund not received for returned Jeans.,High,Satisfied,Platinum,Wallet,Delhivery,Phone,Chennai,Technical Support,Open,No,Yes,6,Escalate to finance support and verify refund status.,2026-05-14 19:08:26
DEL-TKT0011,CUST7739,ORD89575,Bluetooth Speaker,Order Delay,My order for Bluetooth Speaker has not been delivered yet.,Low,Neutral,Silver,Debit Card,Ekart,Email,Delhi,Customer Support,Escalated,Yes,Yes,23,Escalate to logistics support and provide updated ETA.,2026-05-09 23:08:26
BEN-TKT0012,CUST5713,ORD66656,Shoes,Order Delay,Shipment tracking for my Shoes has not updated.,Medium,Frustrated,Platinum,Credit Card,Ekart,Email,Bengaluru,Customer Support,Open,No,No,26,Escalate to logistics support and provide updated ETA.,2026-05-04 13:08:26
CHE-TKT0013,CUST5865,ORD94360,Headphones,Refund Issue,Refund process for Headphones is delayed.,Low,Neutral,Silver,Debit Card,Ekart,Chat,Chennai,Customer Support,In Progress,Yes,No,33,Escalate to finance support and verify refund status.,2026-04-28 23:08:26
DEL-TKT0014,CUST7914,ORD85231,Bluetooth Speaker,Cancellation Issue,Cancellation request failed for Bluetooth Speaker.,Critical,Satisfied,Gold,Credit Card,XpressBees,Chat,Delhi,Warehouse Operations,Escalated,Yes,Yes,66,Verify cancellation eligibility and process request.,2026-05-02 13:08:26
BEN-TKT0015,CUST5330,ORD39120,Shoes,Stock Issue,Shoes unavailable after payment.,Critical,Neutral,Gold,UPI,Delhivery,Email,Bengaluru,Payment Support,Resolved,No,Yes,69,Validate inventory sync and suggest alternatives.,2026-04-28 15:08:26
BEN-TKT0016,CUST3353,ORD71984,Mobile Charger,Damaged Item,The Mobile Charger arrived damaged and unusable.,High,Satisfied,Silver,Debit Card,Ekart,Phone,Bengaluru,Payment Support,Resolved,No,No,48,Initiate return pickup and offer replacement/refund.,2026-05-04 01:08:26
DEL-TKT0017,CUST8787,ORD76664,Bluetooth Speaker,Order Delay,Shipment tracking for my Bluetooth Speaker has not updated.,Low,Satisfied,Platinum,Credit Card,BlueDart,Email,Delhi,Technical Support,In Progress,No,Yes,24,Escalate to logistics support and provide updated ETA.,2026-05-04 02:08:26
CHE-TKT0018,CUST6230,ORD53296,Laptop Bag,Wrong Item,Incorrect Laptop Bag was delivered.,Medium,Neutral,Silver,Credit Card,BlueDart,Phone,Chennai,Payment Support,Open,Yes,No,20,Arrange replacement pickup and warehouse verification.,2026-05-24 06:08:26
BEN-TKT0019,CUST6449,ORD23189,Tablet,Wrong Item,Incorrect Tablet was delivered.,Low,Frustrated,Silver,Credit Card,Delhivery,Phone,Bengaluru,Logistics Team,In Progress,No,No,7,Arrange replacement pickup and warehouse verification.,2026-04-29 13:08:26
PUN-TKT0020,CUST4507,ORD28456,Laptop Bag,Stock Issue,Inventory issue detected for Laptop Bag.,Low,Frustrated,Gold,UPI,XpressBees,Email,Pune,Customer Support,Resolved,Yes,Yes,65,Validate inventory sync and suggest alternatives.,2026-05-16 02:08:26
DEL-TKT0021,CUST4777,ORD85689,Bluetooth Speaker,Payment Issue,Amount deducted but no order confirmation received.,Critical,Neutral,Silver,UPI,BlueDart,Chat,Delhi,Customer Support,Open,Yes,No,66,Check payment gateway logs and transaction ID.,2026-05-01 02:08:26
CHE-TKT0022,CUST5297,ORD87358,Jeans,Payment Issue,Transaction failed during Jeans purchase.,Medium,Angry,Platinum,Debit Card,Delhivery,Email,Chennai,Technical Support,Resolved,No,Yes,33,Check payment gateway logs and transaction ID.,2026-05-16 07:08:26
BEN-TKT0023,CUST6995,ORD97482,Mobile Charger,App Issue,Unable to place Mobile Charger order through app.,Critical,Angry,Silver,Credit Card,BlueDart,Chat,Bengaluru,Customer Support,Open,Yes,No,17,Escalate to technical support for debugging.,2026-04-26 08:08:26
DEL-TKT0024,CUST7185,ORD73607,Tablet,Payment Issue,Amount deducted but no order confirmation received.,High,Frustrated,Gold,Wallet,XpressBees,Chat,Delhi,Warehouse Operations,Escalated,No,No,15,Check payment gateway logs and transaction ID.,2026-04-29 09:08:26
PUN-TKT0025,CUST1503,ORD36201,Jeans,Cancellation Issue,Cancellation request failed for Jeans.,Medium,Satisfied,Platinum,UPI,Delhivery,Email,Pune,Payment Support,Escalated,No,Yes,29,Verify cancellation eligibility and process request.,2026-04-29 20:08:26
PUN-TKT0026,CUST7986,ORD49601,Tablet,App Issue,Retail app crashes during Tablet purchase.,Critical,Frustrated,Gold,UPI,Delhivery,Chat,Pune,Technical Support,Escalated,Yes,No,16,Escalate to technical support for debugging.,2026-04-23 18:08:26
MUM-TKT0027,CUST6758,ORD35875,Mobile Charger,App Issue,Retail app crashes during Mobile Charger purchase.,Critical,Frustrated,Silver,Credit Card,BlueDart,Mobile App,Mumbai,Customer Support,Resolved,Yes,Yes,62,Escalate to technical support for debugging.,2026-05-02 08:08:26
MUM-TKT0028,CUST7411,ORD64967,Headphones,Order Delay,Delivery for my Headphones is delayed.,Low,Satisfied,Gold,UPI,Delhivery,Phone,Mumbai,Customer Support,Escalated,No,No,23,Escalate to logistics support and provide updated ETA.,2026-05-13 22:08:26
